run_dir,program,backend,cpu_type,bp_type_raw,l1d_size,l1i_size,l2_size,n_override,stats_available,instructions_total,cycles_total,branches_total,branch_misses_total,dcache_accesses,dcache_misses,icache_accesses,icache_misses,l2_accesses,l2_misses,sim_seconds,observed_ipc,observed_cpi,observed_branch_miss_rate,observed_cache_miss_rate,observed_icache_miss_rate,unmatched_metrics
289_b29_bursty_streak_pattern__c29_ping_pong_cache_thrash,289_b29_bursty_streak_pattern__c29_ping_pong_cache_thrash,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,628987.0,775775.0,0.0,0.0,120960.0,1366.0,775699.0,478.0,1844.0,1790.0,0.000388,0.8108,1.2334,0.0,0.011293,0.000616,branches_total;branch_misses_total
290_b29_bursty_streak_pattern__c30_gather_scatter_indirect_table,290_b29_bursty_streak_pattern__c30_gather_scatter_indirect_table,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,601182.0,772316.0,0.0,0.0,147228.0,1707.0,772240.0,485.0,2192.0,2051.0,0.000386,0.7784,1.2847,0.0,0.011594,0.000628,branches_total;branch_misses_total
291_b30_periodic_interrupt_override__c21_pyramid_multiresolution_stride,291_b30_periodic_interrupt_override__c21_pyramid_multiresolution_stride,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,610386.0,825192.0,0.0,0.0,121179.0,1354.0,825116.0,468.0,1823.0,1774.0,0.000413,0.7397,1.3519,0.0,0.011174,0.000567,branches_total;branch_misses_total
292_b30_periodic_interrupt_override__c22_tensor_3d_slice_poor_locality,292_b30_periodic_interrupt_override__c22_tensor_3d_slice_poor_locality,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,630299.0,811013.0,0.0,0.0,121168.0,1357.0,810937.0,450.0,1808.0,1760.0,0.000406,0.7772,1.2867,0.0,0.011199,0.000555,branches_total;branch_misses_total
293_b30_periodic_interrupt_override__c23_struct_of_array_field_burst,293_b30_periodic_interrupt_override__c23_struct_of_array_field_burst,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,632230.0,813024.0,0.0,0.0,121126.0,1354.0,812948.0,468.0,1823.0,1775.0,0.000407,0.7776,1.286,0.0,0.011178,0.000576,branches_total;branch_misses_total
294_b30_periodic_interrupt_override__c24_banked_interleaved_access,294_b30_periodic_interrupt_override__c24_banked_interleaved_access,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,630129.0,810825.0,0.0,0.0,121100.0,1365.0,810749.0,450.0,1816.0,1768.0,0.000405,0.7771,1.2868,0.0,0.011272,0.000555,branches_total;branch_misses_total
295_b30_periodic_interrupt_override__c25_lru_recency_weighted_reuse,295_b30_periodic_interrupt_override__c25_lru_recency_weighted_reuse,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,862972.0,1070909.0,0.0,0.0,156268.0,1359.0,1070831.0,473.0,1833.0,1782.0,0.000535,0.8058,1.241,0.0,0.008697,0.000442,branches_total;branch_misses_total
296_b30_periodic_interrupt_override__c26_geometric_stride_growth,296_b30_periodic_interrupt_override__c26_geometric_stride_growth,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,651098.0,815627.0,0.0,0.0,121068.0,1357.0,815551.0,477.0,1835.0,1787.0,0.000408,0.7983,1.2527,0.0,0.011209,0.000585,branches_total;branch_misses_total
297_b30_periodic_interrupt_override__c27_reduction_broadcast_pattern,297_b30_periodic_interrupt_override__c27_reduction_broadcast_pattern,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,603727.0,722933.0,0.0,0.0,121133.0,1364.0,722857.0,456.0,1821.0,1772.0,0.000361,0.8351,1.1975,0.0,0.01126,0.000631,branches_total;branch_misses_total
298_b30_periodic_interrupt_override__c28_morton_zorder_traversal,298_b30_periodic_interrupt_override__c28_morton_zorder_traversal,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,1238732.0,1606517.0,0.0,0.0,121076.0,1359.0,1606441.0,473.0,1833.0,1786.0,0.000803,0.7711,1.2969,0.0,0.011224,0.000294,branches_total;branch_misses_total
